集計年,産業大分類コード,産業大分類名,業種中分類コード,業種中分類名,年齢,所定内給与額（万円）,年間賞与その他特別給与額（万円）,一人当たり賃金（万円）
2010,E,製造業,09,食料品製造業,年齢計,23.1236,54.4423,331.9258
2010,E,製造業,09,食料品製造業,～19歳,15.6566,13.1655,201.0443
2010,E,製造業,09,食料品製造業,20～24歳,16.8452,31.8984,234.0408
2010,E,製造業,09,食料品製造業,25～29歳,19.9018,46.1064,284.928
2010,E,製造業,09,食料品製造業,30～34歳,23.0352,63.6281,340.0504
2010,E,製造業,09,食料品製造業,35～39歳,25.1658,68.1197,370.1092
2010,E,製造業,09,食料品製造業,40～44歳,26.0102,67.1402,379.2629
2010,E,製造業,09,食料品製造業,45～49歳,27.2296,69.7312,396.487
2010,E,製造業,09,食料品製造業,50～54歳,25.9109,62.4597,373.3911
2010,E,製造業,09,食料品製造業,55～59歳,24.8254,55.0915,352.9962
2010,E,製造業,09,食料品製造業,60～64歳,17.7425,24.2214,237.1318
2010,E,製造業,09,食料品製造業,65～69歳,15.5088,9.7916,195.8968
2010,E,製造業,09,食料品製造業,70歳～,15.3606,13.4251,197.7521
2010,E,製造業,10,飲料・たばこ・飼料製造業,年齢計,28.7578,94.5739,439.6678
2010,E,製造業,10,飲料・たばこ・飼料製造業,～19歳,16.8576,8.0841,210.3756
2010,E,製造業,10,飲料・たばこ・飼料製造業,20～24歳,19.0328,42.8771,271.2706
2010,E,製造業,10,飲料・たばこ・飼料製造業,25～29歳,22.1905,66.9402,333.2264
2010,E,製造業,10,飲料・たばこ・飼料製造業,30～34歳,23.9047,72.8557,359.7116
2010,E,製造業,10,飲料・たばこ・飼料製造業,35～39歳,27.8167,92.1707,425.9709
2010,E,製造業,10,飲料・たばこ・飼料製造業,40～44歳,32.1913,115.8445,502.14
2010,E,製造業,10,飲料・たばこ・飼料製造業,45～49歳,34.974,136.9334,556.6212
2010,E,製造業,10,飲料・たばこ・飼料製造業,50～54歳,35.7119,132.27,560.8131
2010,E,製造業,10,飲料・たばこ・飼料製造業,55～59歳,32.2999,100.4077,488.0068
2010,E,製造業,10,飲料・たばこ・飼料製造業,60～64歳,24.1637,44.0356,333.9997
2010,E,製造業,10,飲料・たばこ・飼料製造業,65～69歳,21.4982,36.457,294.4351
2010,E,製造業,10,飲料・たばこ・飼料製造業,70歳～,16.9177,12.7605,215.7732
